Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_and_Techstack,Current_Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Expected_Salary_Range,Problem_Solving_Style,Team_vs_Solo_Preference,Recommended_Career
"Embedded Systems, Finance Technology, IoT, Blockchain, DevOps",Independent,7.61,"Adaptability, Conflict Resolution, Networking, Empathy, Presentation Skills","Kotlin, Rust","Adobe XD, Vue.js","Certified ScrumMaster (CSM), Certified Ethical Hacker (CEH)",no,maybe,1,Graphic Design,"Data Structures and Algorithms, Biology, Cloud Computing, Software Engineering",False,4.85,"Systematic, Creative, Pragmatic",Flexible,"Machine Learning Engineer, Cybersecurity Analyst"
"Finance Technology, Project Management, Embedded Systems, Big Data, Consulting",Hybrid,8.26,"Teamwork, Networking, Adaptability, Presentation Skills","JavaScript, Python","CircleCI, Jenkins, Figma, Pandas, Postman, Unity, PostgreSQL","Tableau Desktop Specialist, Microsoft Certified: Power BI Data Analyst Associate",maybe,no,3,"Volunteering, Coding Clubs, Technical Writing","Cloud Computing, Probability and Statistics",False,16.23,"Creative, Experimental, Intuitive",Solo-focused,"Data Scientist, Cybersecurity Analyst"
"Finance Technology, UI/UX Design",Collaborative,6.56,"Conflict Resolution, Critical Thinking, Empathy, Networking","Swift, Dart, C#","Power BI, Unity, Tableau, Spring Boot, GitLab CI/CD, Azure",,maybe,no,5,"Volunteering, Coding Clubs","Probability and Statistics, Discrete Mathematics, Economics",False,9.73,Data-driven,Team-oriented,"Mobile Developer (iOS), Cybersecurity Analyst"
"Project Management, Data Science, UI/UX Design, IoT",Independent,10.0,"Conflict Resolution, Empathy, Adaptability, Negotiation","JavaScript, Python, Dart, TypeScript","Android Studio, MySQL, PyTorch, Angular, Confluence, Node.js","AWS Certified Cloud Practitioner, Project Management Professional (PMP)",yes,no,0,"Sports, Student Government","Web Technologies, Chemistry, Economics",False,5.13,"Creative, Pragmatic, Collaborative",Flexible,"Data Scientist, Cybersecurity Analyst"
"Project Management, Mobile App Development, Data Science, Natural Language Processing, Web Development",Hybrid,6.09,"Decision Making, Presentation Skills, Communication","Dart, C++, Python","Hadoop, Xcode, Adobe XD, Jira",,no,maybe,0,"Blogging, Gaming","Machine Learning, Cloud Computing",False,10.48,Experimental,Flexible,"Product Manager, Cybersecurity Analyst"
"Robotics, Entrepreneurship, Web Development, IoT, DevOps",Hybrid,9.98,"Negotiation, Networking, Empathy","Java, TypeScript","Jupyter Notebook, Sketch, Power BI, Hadoop, MongoDB","Backend Development (Node.js), Responsive Web Design (freeCodeCamp)",yes,maybe,1,Hackathons,"Biology, Economics, Physics",False,6.23,"Collaborative, Creative, Logical",Solo-focused,"AI Ethicist, Cybersecurity Analyst"
"Bioinformatics, Data Science, Project Management, Natural Language Processing",Collaborative,7.64,"Critical Thinking, Networking, Teamwork, Decision Making, Communication","Ruby, SQL, JavaScript, Go","Jenkins, PostgreSQL, Unity, CircleCI",,yes,maybe,2,"Hackathons, Graphic Design, Debate Clubs","Cloud Computing, Physics, Economics, Discrete Mathematics",False,13.83,Creative,Solo-focused,"Cybersecurity Analyst, Product Manager"
"Web Development, Natural Language Processing, Finance Technology, Project Management",Collaborative,7.78,"Negotiation, Adaptability, Problem Solving","Ruby, Rust, Dart","GitLab CI/CD, AWS",Google Cloud Associate Cloud Engineer,maybe,no,3,"Robotics Competitions, Music","Chemistry, Linear Algebra, Data Structures and Algorithms",False,4.18,"Data-driven, Systematic",Flexible,"Cybersecurity Analyst, Blockchain Developer"
"Embedded Systems, Cloud Computing",Collaborative,7.88,"Leadership, Problem Solving, Empathy","JavaScript, Dart, PHP, Python","CircleCI, AWS, Terraform, Power BI","Microsoft Certified: Power BI Data Analyst Associate, Deep Learning Specialization (Coursera), Google Cloud Associate Cloud Engineer",yes,yes,3,"Gaming, Blogging","Machine Learning, Probability and Statistics, Physics, Psychology",True,12.68,"Analytical, Experimental",Solo-focused,"Cybersecurity Analyst, Cloud Engineer"
"Entrepreneurship, Data Science, Big Data, Quantum Computing, UI/UX Design",Collaborative,7.5,"Leadership, Problem Solving, Presentation Skills, Creativity",Ruby,"Jest, Django, Azure",,no,no,0,"Technical Writing, Sports","Psychology, Software Engineering",True,15.12,Innovative,Solo-focused,"Cybersecurity Analyst, Blockchain Developer"
