Interest_Areas,Preferred_Work_Style,CGPA,Soft_Skills,Programming_Languages,Tools_and_Techstack,Current_Certifications,Wants_to_Go_for_Masters,Interested_in_Research,Current_Projects_Count,Extracurricular_Interests,Favourite_Subjects,Internship_Experience,Expected_Salary_Range,Problem_Solving_Style,Team_vs_Solo_Preference,Recommended_Career
"DevOps, Finance Technology, UI/UX Design, Big Data",Collaborative,9.64,"Leadership, Problem Solving, Communication, Empathy, Emotional Intelligence, Time Management","R, SQL, Swift","Spring Boot, Django",,maybe,yes,2,Blogging,"Psychology, Physics, Operating Systems",True,9.41,"Intuitive, Collaborative, Systematic",Flexible,"Cybersecurity Analyst, MS in Computer Science, Research Intern (General)"
"IoT, Big Data",Independent,7.08,"Conflict Resolution, Time Management, Teamwork, Problem Solving","Kotlin, Dart, C++","NumPy, Angular, Docker","Certified Ethical Hacker (CEH), Docker Certified Associate",no,maybe,3,Technical Writing,"Chemistry, Psychology, Software Engineering",True,15.59,Systematic,Solo-focused,"Cybersecurity Analyst, Project Manager"
"Embedded Systems, Game Development, Artificial Intelligence, Consulting",Independent,8.11,"Negotiation, Critical Thinking, Teamwork","Dart, PHP, Kotlin, R","React, Spring Boot, MongoDB, Jenkins, CircleCI",,yes,yes,3,"Photography, Community Service, Gaming","Linear Algebra, Physics, Discrete Mathematics, Database Management Systems",True,6.4,Creative,Flexible,"Business Analyst, Cybersecurity Analyst"
"DevOps, Artificial Intelligence, Embedded Systems",Independent,6.61,"Creativity, Teamwork, Adaptability, Emotional Intelligence, Problem Solving","Swift, Java, JavaScript","GitLab CI/CD, React, TensorFlow, Azure, Salesforce, PyTorch","Microsoft Certified: Power BI Data Analyst Associate, Salesforce Certified Administrator, CompTIA Security+",no,no,3,Community Service,"Artificial Intelligence, Chemistry",False,6.95,"Data-driven, Intuitive, Collaborative",Solo-focused,"DevOps Engineer, Cybersecurity Analyst, Big Data Engineer"
"IoT, Data Science",Hybrid,9.21,"Time Management, Negotiation, Empathy, Communication","PHP, Ruby, TypeScript","GitLab CI/CD, Angular, MySQL, Unity, Android Studio, Kubernetes",,yes,no,3,Debate Clubs,"Probability and Statistics, Operating Systems, Psychology",False,9.16,"Logical, Collaborative",Team-oriented,"Cybersecurity Analyst, Research Intern (AI/ML)"
"Finance Technology, Artificial Intelligence, Technical Writing, Web Development",Hybrid,7.19,"Presentation Skills, Conflict Resolution, Creativity, Critical Thinking, Teamwork",Dart,"Unreal Engine, Vue.js, Angular, Spark, Django",,no,no,3,Coding Clubs,"Web Technologies, Operating Systems, Economics",False,8.61,"Innovative, Analytical, Pragmatic",Flexible,"Software Developer (Frontend), Cybersecurity Analyst, Machine Learning Engineer"
"Machine Learning, Game Development, Artificial Intelligence",Independent,8.96,"Empathy, Negotiation, Time Management, Emotional Intelligence, Leadership, Creativity","R, Kotlin, Java, Swift","GCP, Jupyter Notebook, Selenium, Ansible, AWS, MySQL, Confluence","IBM Data Science Professional Certificate, Docker Certified Associate",no,maybe,4,Podcast creation,"Economics, Biology, Calculus",True,14.52,"Analytical, Innovative, Collaborative",Team-oriented,"Cybersecurity Analyst, Project Manager"
"Digital Marketing, Consulting, Blockchain, Finance Technology",Hybrid,8.04,"Critical Thinking, Conflict Resolution, Presentation Skills, Communication, Decision Making, Leadership",SQL,"MySQL, GitLab CI/CD, AWS, Unreal Engine, Docker, Selenium",,yes,maybe,1,"Coding Clubs, Volunteering, Debate Clubs","Probability and Statistics, Economics, Cloud Computing",True,4.39,"Logical, Innovative, Pragmatic",Solo-focused,"Database Administrator, Cybersecurity Analyst"
"Embedded Systems, Entrepreneurship, Technical Writing",Hybrid,6.87,"Creativity, Negotiation, Decision Making","R, C#, C++","MySQL, Azure, Scikit-learn",Machine Learning (Stanford/Coursera),yes,yes,0,"Photography, Graphic Design","Physics, Psychology, Web Technologies",True,13.83,"Intuitive, Data-driven",Team-oriented,"AI Ethicist, Cybersecurity Analyst"
"UI/UX Design, Big Data, Quantum Computing",Collaborative,8.13,"Problem Solving, Networking, Leadership",Go,"Postman, TensorFlow, Adobe XD, Power BI, GitLab CI/CD, MySQL, Flask",,yes,maybe,5,Podcast creation,"Cyber Security, Linear Algebra",False,9.7,"Data-driven, Collaborative",Flexible,"Cybersecurity Analyst, UI/UX Designer, Big Data Engineer"
